,message,cleaned,output
368,"Can you remind me to send an email to Raghu tomorrow morning @ 10am,","remind send email raghu tomorrow morning @ am,",['the same']
369,"Call me at 6 am and 6.40 am on 11 nobember,","call  .  nobember,",['Call']
370,"5 am,"," am,",['Not Found']
371,"Remind me tomorrow at 2 pm SBI CC bill payment,","remind tomorrow  pm sbi cc bill payment,",['the same']
372,"Remind me to charge battery at 8 am tomorrow,","remind charge battery  tomorrow,",['Not Found']
373,"Thanks...for reminding me,","thanks...for reminding me,",['reminding me']
374,"Remind me to pay rs 3500 to depak,","remind pay r  depak,",['How']
375,"Keep reminding me of studying hard. Tell me everytime that I have to be a Good Doctor.,","keep reminding studying hard. tell everytime good doctor.,",['reminding me']
376,"CAn u pls dismiss this reminder,","u pls dismiss reminder,",['Not Found']
377,"Set Alarm from 4:40AM to 5:00AM, today, 2 minutes difference,","set alarm :am :am, today,  minute difference,",['Alarm']
378,"Calling tomorrow rakesh kumar Jain at 12:30 pm,","calling tomorrow rakesh kumar jain : pm,",['calling me']
379,"Remind me at 9pm today. I need to fill a forn,","remind pm today. need fill forn,",['the same']
380,"Nope! Thank u for reminding,","nope! thank u reminding,",[')']
381,"Remind me onthis 9th to do recharge,","remind onthis th recharge,",['recharge']
382,"Remind me to make a presentation by 10am for debreif Spain trip,","remind make presentation am debreif spain trip,",['Not Found']
383,"Hi, pls change the reminders frequency to every 3 hours from the current frequency of 2 hrs,","hi, pls change reminder frequency every  hour current frequency  hrs,",['Not Found']
384,"I need this reminder every Saturday at the same time,","need reminder every saturday time,",['Not Found']
385,"Tata sky recharge remind me on 7th Jan at 3 clock,","tata sky recharge remind th jan  clock,",['recharge']
386,"Schedule to meet imran by 9 30pm today,","schedule meet imran  pm today,",['Not Found']
387,"I want to add one more b'day reminder,","want add one b'day reminder,",['Not Found']
388,"And what should go on my to-do list?,","go to-do list?,",['Not Found']
389,i would like this reminder every day,would like reminder every day,['Not Found']
390,"Iam little bit lazy so u can set one more alarm of 8 15am?,","iam little bit lazy u set one alarm  am?,",['Not Found']
391,"Call sanjay, rajesh today by 4 pm,","call sanjay, rajesh today  pm,",['Call me']
392,"Remind me to buy book tomorro at 8:00 am,","remind buy book tomorro : am,",['book tickets']
393,"Would like to set one more reminder,","would like set one reminder,",['Not Found']
394,"Remind me to take print out of my flight tickets,","remind take print flight tickets,",['take a print out']
395,"Remind me to go to washroom at 3am,","remind go washroom am,",['Not Found']
396,"Remind me in 2:00pm clock,","remind :pm clock,",['Not Found']
397,"For both the reminders,","reminders,",['Not Found']
398,"I want one reminder,","want one reminder,",['Not Found']
399,"Plz remind me for booking of Train ticket today at 10:45,","plz remind booking train ticket today :,",['ticket booking']
400,"I m getting irrigating from lot of calls from haptik,","getting irrigating lot call haptik,",['Call']
401,"I can remember now by my own,","remember own,",['Not Found']
402,"Pls set an alarm for 8 am,","pls set alarm  am,",['Not Found']
403,"Remind me to have sex with my girlfriend in two minutes,","remind sex girlfriend two minutes,",['How']
404,"Remind me at 4pm today to work on education,","remind pm today work education,",['the same']
405,"Remind me today at 1:40 pm for scooper,","remind today : pm scooper,",['the same']
406,"Morning. Thanks for the reminder....have a great day,","morning. thanks reminder....have great day,",['the reminders']
407,"Remind m tom at 11 to cal prof meena,","remind tom  cal prof meena,",['How']
408,"Can you remind me to do German assignments tomorrow please ?,","remind german assignment tomorrow please ?,",['Not Found']
409,"Remind me at 3 pm,","remind  pm,",['Not Found']
410,"Thanks for this call,","thanks call,",['call']
411,"It would be helpful if you could remind me to leave 45 minutes in advance, as I am leaving from Gurugram to Saket.,","would helpful could remind leave  minute advance, leaving gurugram saket.,",['leave']
412,"Remind me @ 2.30pm today,","remind @ .pm today,",['the same']
413,"Thanks... m about to have!,","thanks... have!,",[')']
414,"Set a reminder of bathing,","set reminder bathing,",['What']
415,"Thanks for the reminder Karan! :),","thanks reminder karan! :),",['the reminders']
416,"Remind me that i have to whatsapp manju aunty,","remind whatsapp manju aunty,",['How']
417,"Any alarm tone?,","alarm tone?,",['Alarm']
418,"Pls remind me to get 2 passport size photo for adhaar work.,","pls remind get  passport size photo adhaar work.,",['How']
419,"Do u remember me,","u remember me,",['Not Found']
420,"please remind me after 2 hrs,","please remind  hrs,",['Not Found']
421,"You remind me at 6 pm 4 jan,","remind  pm  jan,",['Not Found']
422,"Been busy, sorry about that.,","busy, sorry that.,",['Not Found']
423,"Hii remind me to download the splendid app,","hii remind download splendid app,",['How']
424,"Can you help me with weekly reminders of reading something,","help weekly reminder reading something,",['What']
425,"Remember its really important for me .,","remember really important .,",['Not Found']
426,"I need a reminder on 10 June 2017 about shilpi birthday,","need reminder  june  shilpi birthday,",['Not Found']
427,"Remind me to go office at 12. 30 pm tomorrow,","remind go office .  pm tomorrow,",['Not Found']
428,"Can you remind me to send quote for incastt machines,","remind send quote incastt machines,",['How']
429,"Remind me to go to post office on 12th Jan 2017 at 9 am,","remind go post office th jan   am,",['Not Found']
430,"Please set up 2nd alarm also for me,","please set nd alarm also me,",['Not Found']
431,"I need repeat alarm in next 5 mins,","need repeat alarm next  mins,",['Alarm']
432,"Remind me to take the tickets on 18th January 2017 at 3 pm. Thank you.,","remind take ticket th january   pm. thank you.,",['Not Found']
433,"Remind me the same in an hour please,","remind hour please,",['Not Found']
434,"Set it to till 9 pm,","set till  pm,",['Not Found']
435,"Thanks Mahesh for reminder,","thanks mahesh reminder,",['the reminders']
436,"Icon finder reminder still pending on 1st of the month,","icon finder reminder still pending st month,",['What']
437,"please remind the above tomorrow at same time,","please remind tomorrow time,",['Not Found']
438,"I need regular to remind me,","need regular remind me,",['Not Found']
439,"Remind me for KEB bill,","remind keb bill,",['How']
440,"Can you remind me to take my food from the fridge tomorrow,","remind take food fridge tomorrow,",['take a print out']
441,"Set reminder foe 1.45 pm today,","set reminder foe . pm today,",['Not Found']
442,"Tommorow 1 pm Reminder,","tommorow  pm reminder,",['Where']
443,"Could you set it till 12 am?,","could set till  am?,",['Not Found']
444,"Can you please help me create a schedule for the days,","please help create schedule days,",['Not Found']
445,"Set remi der after 10 min,","set remi der  min,",['Not Found']
446,"I changed my number so I need all my remainders to be sent to my new number..is that possible,","changed number need remainder sent new number..is possible,",['another number']
447,"Set a reminder for xrd slot on friday,","set reminder xrd slot friday,",['What']
448,"Can u set a reminder for the 3rd of feb,","u set reminder rd feb,",['What']
449,"Jai jinendra Thnx shrdha ji for my today schedule,","jai jinendra thnx shrdha ji today schedule,",['Not Found']
450,"Remind me to write the question paper in the morning,","remind write question paper morning,",['Not Found']
451,"Who kept alarm at this time shardha,","kept alarm time shardha,",['Alarm']
452,"Hey Ples Remind me pop drawing and vanity drg At 1pm,","hey ples remind pop drawing vanity drg pm,",['Not Found']
453,"Just remind me to collect books at 12:30,","remind collect book :,",['book tickets']
454,"Remind me tomorrow to collect my marks cards.,","remind tomorrow collect mark cards.,",['Not Found']
455,"Another 2 alarms at 8:00am , 8:20am also... Plz,","another  alarm :am , :am also... plz,",['another alarm']
456,"I know very well about ur haptik how to use but when to use i will decide,","know well ur haptik use use decide,",['Not Found']
457,"Remind tomorrow at 11 am about talking to bindu n shiv about the customer complaint.,","remind tomorrow  talking bindu n shiv customer complaint.,",['Not Found']
458,"make medic reminder at 11.30 am,","make medic reminder . am,",['Not Found']
459,"Set an alarm at 7:30 pm today.,","set alarm : pm today.,",['Not Found']
460,"Remind me that I should get ready early tomorrow and go to temple in the morning,","remind get ready early tomorrow go temple morning,",['go to the temple']
461,"Give me a call @ 8 pm,","give call @  pm,",['Call']
462,"Remind me to type report at 9 pm today,","remind type report  pm today,",['the same']
463,"Can you please adjust the schedule,","please adjust schedule,",['Not Found']
464,"Remind me to deposit PPF amount at 3 pm today,","remind deposit ppf amount  pm today,",['the same']
465,"Plz remind me before every match,","plz remind every match,",['Not Found']
466,"Can u set this every day,","u set every day,",['Not Found']
467,"Hi,","hi,",['Not Found']
468,"Remind me to take puneet construction brief at 12pm,","remind take puneet construction brief pm,",['Not Found']
469,"Set reminder for insurance payment on 15th February,","set reminder insurance payment th february,",['Not Found']
470,"Remind me to go to bank today at 3:00 PM,","remind go bank today : pm,",['go bank']
471,"Can you change my reminders,","change reminders,",['Not Found']
472,"Remind me tommorow in morning about my summer training report file submission,","remind tommorow morning summer training report file submission,",['Not Found']
473,"Remind me on 18th jan 2 atttend seminar dated 19th jan Thursday,","remind th jan  atttend seminar dated th jan thursday,",['Not Found']
474,"Can you change the reminder time for tommorow s meeting to 9.30 ?,","change reminder time tommorow meeting . ?,",['Not Found']
475,"Remind me to buy Gehu today at 1pm,","remind buy gehu today pm,",['the same']
476,"why havent uh called me up for my alarm,","havent uh called alarm,",['Alarm']
477,"Remind me to take my lab coat at tomorrow morning 8 am,","remind take lab coat tomorrow morning  am,",['the same']
478,"Set at 8:30,","set :,",['Not Found']
479,", Agar Mujhe Pani Peene Ke Liye Koi reminder set karo,",", agar mujhe pani peene ke liye koi reminder set karo,",['What']
480,"Kindly reschedule the alarm for 7 am,","kindly reschedule alarm  am,",['Alarm']
481,"Thankyou for the reminder.,","thankyou reminder.,",['all the reminders']
482,"Call to srinath at 2om,","call srinath om,",['Call']
483,"Tmrw I go to church at 11.30 pm. Create a schedule,","tmrw go church . pm. create schedule,",['Not Found']
484,"Remind me on 13th Jan to meet mr Saboo next day,","remind th jan meet mr saboo next day,",['Not Found']
485,"Yeah can i pick up that call...and will some one please say good morning mick have a nice day,","yeah pick call...and one please say good morning mick nice day,",['Not Found']
486,"ILC remainder,","ilc remainder,",['Where']
487,"Can u remember me about to atten alluminai on 3 rd December 9.00 clock am,","u remember atten alluminai  rd december . clock am,",['Not Found']
488,"Deactivate all my alarms and reminders.,","deactivate alarm reminders.,",['Alarm']
489,"Set reminder at 6 pm tomorrow to go driving classes,","set reminder  pm tomorrow go driving classes,",['Not Found']
490,"Hi.. there is a change in schedule.,","hi.. change schedule.,",['Not Found']
491,"Dish Tv recharge reminder set karna hai,","dish tv recharge reminder set karna hai,",['recharge']
492,"I wana set reminder,","wana set reminder,",['What']
493,"Remind to pay 9009 to Vasanti textiles tomo at 12pm,","remind pay  vasanti textile tomo pm,",['Not Found']
494,"Remind me to take a cake home at 7pm today,","remind take cake home pm today,",['the same']
495,"khushboo could you remind me to eat every 2.5 hours starting from 8am today?,","khushboo could remind eat every . hour starting am today?,",['eat']
496,"Oops need a reminder an hour bfr plz,","oops need reminder hour bfr plz,",['Not Found']
497,"Can you please set me alarm,","please set alarm,",['Not Found']
498,"Can you remind me today to wish tony stark a happy birthday,","remind today wish tony stark happy birthday,",['wish']
499,"Can you set reminder for my friend,","set reminder friend,",['What']
500,"Reminder on 14th January 9:00 am,","reminder th january : am,",['Not Found']
501,"Ok cn i get a nice song on d call,","ok cn get nice song call,",['get a call']
502,"9637521432,",",",['Not Found']
503,"What reminder?,","reminder?,",['What']
504,"About what?,","what?,",['Not Found']
505,"Thanks for reminding all these while,","thanks reminding while,",[')']
506,"Please remind me this Saturday for shopp8ng,","please remind saturday shoppng,",['Not Found']
507,"Please set another reminder,","please set another reminder,",['Another']
508,"make a reminder for me,","make reminder me,",['Not Found']
509,"Remind me to take a bath today at 10.45 am,","remind take bath today . am,",['the same']
510,"now set the birthday at 31st dec time 11:55,","set birthday st dec time :,",['Not Found']
511,"Remind me at 11.52 for session,","remind . session,",['How']
512,"Remind me to go to 'blue orange,","remind go 'blue orange,",['how']
513,"Do you know any thing about karol darwaja delhi market?,","know thing karol darwaja delhi market?,",['Not Found']
514,"I had requested that reminder alerts be cancelled now,","requested reminder alert cancelled now,",['What']
515,"Remind to book flight tickets on 1st Dec,","remind book flight ticket st dec,",['book tickets']
516,"I want remainder,","want remainder,",['Not Found']
517,"ok so plz remind me evry 2 hours to stay me hydrate,","ok plz remind evry  hour stay hydrate,",['Not Found']
518,"You sure I'll get a call?,","sure i'll get call?,",['get a call']
519,"Thank you for calling me,","thank calling me,",['calling me']
520,"Can I set a daily remainder?,","set daily remainder?,",['Not Found']
521,"Schedule it for all days of week,","schedule day week,",['Not Found']
522,"Postpone the reminder to tomorrow,","postpone reminder tomorrow,",['Not Found']
523,"U reminded me late though,","u reminded late though,",['Not Found']
524,"Set another remainder at 8 45,","set another remainder  ,",['Not Found']
525,"Thanks for the reminder! Happy new year!!!!,","thanks reminder! happy new year!!!!,",['the reminders']
526,"Ok thanks,","ok thanks,",[')']
527,"Actually I need a reminder For everymonth 5th,","actually need reminder everymonth th,",['Not Found']
528,"Remind me about asking definite integration,","remind asking definite integration,",['How']
529,"Also remind me to complete the BMS OQ from my side at 4PM,","also remind complete bm oq side pm,",['Not Found']
530,"When you are reminding me.,","reminding me.,",['reminding me']
531,"When is ankit birthday deepika,","ankit birthday deepika,",['Not Found']
532,"Hi shruti,please set an alarm for 5:54 pm today..,","hi shruti,please set alarm : pm today..,",['Not Found']
533,"Could you remind to Submit IQN,","could remind submit iqn,",['How']
534,"Pl.remind me 1) 1st of every month for putting fertilizer in the plants .... 2) 15th of every month for putting organic pesticide for plants.,","pl.remind ) st every month putting fertilizer plant .... ) th every month putting organic pesticide plants.,",['the same']
535,"REMIND ME TO WISH AAHELI ON 18th JANUARY,","remind wish aaheli th january,",['wish']
536,"Would you remind one of my friend too?,","would remind one friend too?,",['Not Found']
537,"Sir u remember me,","sir u remember me,",['Not Found']
538,"Remind me to make ShopCJ invoice,","remind make shopcj invoice,",['How']
539,"Keep the reminders alive today. Thanks.,","keep reminder alive today. thanks.,",['the reminders']
540,"Alarm in 2 hours,","alarm  hours,",['Alarm']
541,"Remind me nitrogen gas filling for car on 28/11/16 at 9am,","remind nitrogen gas filling car // am,",['Not Found']
542,"Can you remind me at 9.30Am to do yoga,","remind .am yoga,",['Not Found']
543,"Can u set remainder Sayali for me,","u set remainder sayali me,",['Not Found']
544,"Remind me to take my Vitamin D tablets every Friday, in the evening.,","remind take vitamin tablet every friday, evening.,",['take tablets']
545,"Will u call and inform at the correct time,","u call inform correct time,",['Not Found']
546,"Wrong reminder coming,","wrong reminder coming,",['What']
547,"Would you remind me about flight,","would remind flight,",['How']
548,"Mam...can you just give me a reminder of tomorrow's tution at 8:15 am,","mam...can give reminder tomorrow's tution : am,",['Not Found']
549,"Can I set as repeatative?,","set repeatative?,",['Not Found']
550,"Can u remind me tomorrow at around 12 to pick up my things from the shop,","u remind tomorrow around  pick thing shop,",['Not Found']
551,"Hey! Can u remind me in every 2hour,","hey! u remind every hour,",['Not Found']
552,"Today i need an reminder for buying bansuri and flag,","today need reminder buying bansuri flag,",['Not Found']
553,"Can you save a reminder for me to play clash royale,","save reminder play clash royale,",['What']
554,"Remind me of meting on 27th November,","remind meting th november,",['Not Found']
555,"How will that reminder be??,","reminder be??,",['What']
556,"Remind me at 9 pm to day,","remind  pm day,",['Not Found']
557,"Set alarm for 8o'clock,","set alarm o'clock,",['Not Found']
558,"Remind me to take a shower at 12 45 pm,","remind take shower   pm,",['Not Found']
559,"Can u set an reminder,","u set reminder,",['What']
560,"Remind me in the next 30 minutes about the abovesaid task,","remind next  minute abovesaid task,",['Not Found']
561,"tomorrow at 11 am remind me to perder jockey tactel,","tomorrow  remind perder jockey tactel,",['Not Found']
562,"Pls change the reminder,","pls change reminder,",['Not Found']
563,"Please remind me on 1am for shutdown laptop,","please remind am shutdown laptop,",['Not Found']
564,"Need a reminder 15mins before pls,","need reminder mins pls,",['Not Found']
565,"Add new reminder,","add new reminder,",['Not Found']
566,"Plz make my schedule for tmw,","plz make schedule tmw,",['Not Found']
567,"Hey ,can you remind me to Start reading chapter 9 in my book?,","hey ,can remind start reading chapter  book?,",['book tickets']
568,"Please remind me everyday for brush,","please remind everyday brush,",['Not Found']
569,"Good morning Pourush,","good morning pourush,",[')']
570,"Can you remind me to right my diary everyday at 11:55 pm,","remind right diary everyday : pm,",['Not Found']
571,"Remind me to study 7p's & second unit of BE tomorrow,","remind study p's & second unit tomorrow,",['study']
572,"To remind ma'am about the class on 5th,","remind ma'am class th,",['class']
573,"Bro I need study reminder daily is it possible,","bro need study reminder daily possible,",['study']
574,"Todays is Most importent in My life...... Want u to remind me every year,","today importent life...... want u remind every year,",['the same']
575,"I want to gift a cake to someone,","want gift cake someone,",['Not Found']
576,"Hey, can you remind me to sleep at 4 PM today?,","hey, remind sleep  pm today?,",['sleep']
577,"Reminder today,","reminder today,",['Not Found']
578,"Remind me to go at Red Cross at 4:30pm in evening 25/11/2016,","remind go red cross :pm evening //,",['Not Found']
579,"Please set a reminder for me just after 20minutes wat the time is right now,","please set reminder minutes wat time right now,",['Not Found']
580,"Remind to take cet material to cls @ 4 30 pm,","remind take cet material cl @   pm,",['Not Found']
581,"Can you remind me to go to photo studio for passport size photo. At 12:00pm today,","remind go photo studio passport size photo. :pm today,",['the same']
582,"Remind me on 12 December,","remind  december,",['How']
583,"Can u remind me that,","u remind that,",['How']
584,"Remind me to pay my axis cc bill,","remind pay axis cc bill,",['How']
585,"9327426063,",",",['Not Found']
586,"Okay..,","okay..,",['Not Found']
587,"I want reminder every time when I get new Gmail,","want reminder every time get new gmail,",['Not Found']
588,"Need an alarm at 7 PM today,","need alarm  pm today,",['Not Found']
589,"Please also remind me to walk every 25 mins,","please also remind walk every  mins,",['walk']
590,"For alarm i should on the net,","alarm net,",['Alarm']
591,"You faild to remind me on time, sad,","faild remind time, sad,",['Not Found']
592,"Is daily reminder available?,","daily reminder available?,",['Not Found']
593,"Please set a reminder for me to book tatkal at 11.30 am tomorrow,","please set reminder book tatkal . tomorrow,",['Not Found']
594,"Can you connect all my friends list from Facebook and remind me accordingly.,","connect friend list facebook remind accordingly.,",['How']
595,"Thanks for calling!,","thanks calling!,",['calling me']
596,Is there any such facility that you guys keep calling till the time I answer,facility guy keep calling till time answer,['calling me']
597,"remind me entire day today to register for courses,","remind entire day today register courses,",['Not Found']
598,"ReMind me to bring bill book tomorrow,","remind bring bill book tomorrow,",['Not Found']
599,"Can you remind me d same thing at 5:00 pm tomorrow..?,","remind thing : pm tomorrow..?,",['the same']
600,"Remind me to say her to bring her ece copy in the colg,","remind say bring ece copy colg,",['How']
601,"One more thing can you please remind,","one thing please remind,",['Not Found']
602,"Please send other reminder details,","please send reminder details,",['Not Found']
603,"List of reminder,","list reminder,",['What']
604,"To remind me,","remind me,",['How']
605,"Can you remind me to watch movie,","remind watch movie,",['watch a movie']
606,"Remainder to eat fruit,","remainder eat fruit,",['eat']
607,"Thanks for remindering me,","thanks remindering me,",[')']
608,"Can you schedule a reminder,","schedule reminder,",['What']
609,"Hey.. Can you give me a reminder at 1.57 for the next Mi shake shake game..,","hey.. give reminder . next mi shake shake game..,",['When']
610,"I get reminder only when internet is ON,","get reminder internet on,",['How']
611,"Once again remind me at 8.35,","remind .,",['How']
612,"Remind me to attend caw 2:45 pm December 15,","remind attend caw : pm december ,",['Not Found']
613,"Set a reminder for me,","set reminder me,",['What']
614,"How many times you are going to call me for the same,","many time going call same,",['Not Found']
615,"I got to Skype with my friend at 8:30 pm can you please remind me that?,","got skype friend : pm please remind that?,",['Not Found']
616,"Remind me to play guitar,","remind play guitar,",['How']
617,"How will be the ""call?,","""call?,",['Call']
618,"Bro,","bro,",['Not Found']
619,"Can you remind my wife tmrw to take her vitamin D injection at 3 pm,","remind wife tmrw take vitamin injection  pm,",['Not Found']
620,"I want to make reminder,","want make reminder,",['Not Found']
621,"Reminder 2 being pomogranet tody at 5pm,","reminder  pomogranet tody pm,",['Where']
622,"Maybe later..,","maybe later..,",['Not Found']
623,"What about,","about,",['Not Found']
624,"I need the reminder between 4 pm to 11 pm,","need reminder  pm  pm,",['Not Found']
625,"Remind me from tomorrow,","remind tomorrow,",['Not Found']
626,"Ping me later jab m home,","ping later jab home,",['Not Found']
627,"Please end reminder,","please end reminder,",['Not Found']
628,"I want reminders all day,","want reminder day,",['Not Found']
629,"About to carry a ring for sivaswamy,","carry ring sivaswamy,",['Not Found']
630,"Details for which reminder?,","detail reminder?,",['What']
631,"Remind to go for walk n yoga,","remind go walk n yoga,",['go for a walk']
632,"Remind me to come at 8 pm today,","remind come  pm today,",['the same']
633,"Thanq. And remove(delete) all previous wakeup calls. Plz.,","thanq. remove(delete) previous wakeup calls. plz.,",['wakeup']
634,"Remind me too mail up my client,","remind mail client,",['How']
635,"Call ficci at 11 00 am tomorrow n thereafter call dme,","call ficci   tomorrow n thereafter call dme,",['Call me']
636,"Remind me to wish vritz on her birthday which is on 11th november,","remind wish vritz birthday th november,",['Not Found']
637,"Take chakli from sachin reminder,","take chakli sachin reminder,",['take tablets']
638,"About Insurance refund,","insurance refund,",['Not Found']
639,"Remind me to bring hair oil today,","remind bring hair oil today,",['the same']
640,"I have a journey tomorrow night please remind me the same in the morning,","journey tomorrow night please remind morning,",['Not Found']
641,"Please remind me to repair my laptop on Saturday I.e on 03-Dec-2016 at 9:30 AM,","please remind repair laptop saturday i.e -dec- : am,",['Not Found']
642,"Remind that maruti car insurance policy will come on Monday at 12 Tell dad about it,","remind maruti car insurance policy come monday  tell dad it,",['how']
643,"I would like to set to do list reminder,","would like set list reminder,",['Not Found']
644,"I am late to office,","late office,",['Not Found']
645,"2 calls,"," calls,",['Not Found']
646,"Reminder to Marriage ceremony,","reminder marriage ceremony,",['What']
647,"Remind me for my recharge,","remind recharge,",['recharge']
648,"Need to put in reminders for tom.,","need put reminder tom.,",['Not Found']
649,"Remind me tomorrow by 11 about baerlocher endorsements,","remind tomorrow  baerlocher endorsements,",['Not Found']
650,"Remind me today at 1700hr to put fashion designer job requirement,","remind today hr put fashion designer job requirement,",['Not Found']
651,"Remaind me for every 2 hours,","remaind every  hours,",['Not Found']
652,"I want to set a new reminder,","want set new reminder,",['Not Found']
653,"Will i have two alarms,","two alarms,",['Not Found']
654,"K. Thank you so much for your remainder,","k. thank much remainder,",['Not Found']
655,"Did you set the target?,","set target?,",['Not Found']
656,"Plz remind me again at 2:30,","plz remind :,",['Not Found']
657,"Remind me at 9Pm to buy a fill for FM-2,","remind pm buy fill fm-,",['Not Found']
658,"Tanushree... plz remind me at proper hour,","tanushree... plz remind proper hour,",['Not Found']
659,"Can u please remind me to charge my phone at 3:30pm,","u please remind charge phone :pm,",['charge my phone']
660,"Heyya listen .... I need to know about something,","heyya listen .... need know something,",['Not Found']
661,"Just remind me to tune the channel of TV @ 9:00pm,","remind tune channel tv @ :pm,",['Not Found']
662,"Do I have any reminder for today?,","reminder today?,",['Not Found']
663,"Ya I know but remind me to go jacking ok,","ya know remind go jacking ok,",['how']
664,"Please close the reminder,","please close reminder,",['Not Found']
665,"Remind me at 9 pm today of it return of Nextgen employee,","remind  pm today return nextgen employee,",['the same']
666,"7:00,",":,",['Not Found']
667,"Remind me to move cupboard today at 9:30pm,","remind move cupboard today :pm,",['the same']
668,"Will discuss in evening,","discus evening,",['Not Found']
669,"set me an alarm on 8:00am on 28-12-16,","set alarm :am --,",['Not Found']
670,"I already told about reminder of hr mantra app,","already told reminder hr mantra app,",['Not Found']
671,"Hi gm,","hi gm,",['Not Found']
672,"Remind me to go to gym today at 5:34 pm,","remind go gym today : pm,",['go to gym']
673,"can you suggest me the application for schedule silent mode n general mode,","suggest application schedule silent mode n general mode,",['Not Found']
674,"What is the reminder I have set?,","reminder set?,",['What']
675,"U haven't called me right???,","u haven't called right???,",['Not Found']
676,"N one more reminder I wanna set for 5:10am 26 december,","n one reminder wanna set :am  december,",['Not Found']
677,"Can you please put this as a reminder for 7th dec 12pm again please,","please put reminder th dec pm please,",['Not Found']
678,"Can you remind me to replace my lenses on 19th December,","remind replace lens th december,",['Not Found']
679,"set remider,","set remider,",['Not Found']
680,"Remind me to keep the pass back at 2.00 pm tomorrow (19th November),","remind keep pas back . pm tomorrow (th november),",['the same']
681,"Remind me bro bday at 11am today,","remind bro bday am today,",['the same']
682,"Remind me for economics notes at 2:50PM today,","remind economics note :pm today,",['the same']
683,"Remind me to take a book for assinment today at 12:00 pm ok,","remind take book assinment today : pm ok,",['take lunch']
684,"Set reminder on 5th December for visiting doctor on 6th December at Park clinic,","set reminder th december visiting doctor th december park clinic,",['doctor']
685,"Repeat alarm at 8 am please,","repeat alarm  please,",['Not Found']
686,"And also remain me on Friday 10 am about medical bill,","also remain friday  medical bill,",['Not Found']
687,"Remind me same at 10.40pm today,","remind .pm today,",['the same']
688,"At least there should be notification popup because how would i get the reminder that i have to do something,","least notification popup would get reminder something,",['Not Found']
689,"Remind me to ask simar to do 10 maths questions and learn square root table,","remind ask simar  math question learn square root table,",['How']
690,"Also remind me to mail the presentation to Bloomberg tomorrow at 11 am,","also remind mail presentation bloomberg tomorrow  am,",['the same']
691,"Can u remind me on Monday at 1100 am to ask muthu on confirmation for the training,","u remind monday  ask muthu confirmation training,",['How']
692,"Reminder for ticket booking,","reminder ticket booking,",['ticket booking']
693,"Remind me tommorow to write jaasa uncle's 2000 rupees at 12 pm,","remind tommorow write jaasa uncle's  rupee  pm,",['Not Found']
694,"Can you remind me for tomorrow,","remind tomorrow,",['Not Found']
695,"Set a reminder for 4pm also Medical check up,","set reminder pm also medical check up,",['Not Found']
696,"i have problem with 11:58pm reminder please remoe it,","problem :pm reminder please remoe it,",['Not Found']
697,"Reminder for study time,","reminder study time,",['study']
698,"Pls remind me to that I need to submit my documents tmw mng,","pls remind need submit document tmw mng,",['Not Found']
699,"Okay thank you... That will be total 2 reminders is it?,","okay thank you... total  reminder it?,",['Not Found']
700,"Please remind me to get ioning cloths at 730 pm today evening,","please remind get ioning cloth  pm today evening,",['Not Found']
701,"Remind me tomorrow about buying pen for taran with bill. At 9 am.,","remind tomorrow buying pen taran bill.  am.,",['the same']
702,"Remind me to go to dad's shop @ 2:30 pm,","remind go dad's shop @ : pm,",['Not Found']
703,"Tomo evening at 4.30 pm remember me i should go to near basavana bhavan,","tomo evening . pm remember go near basavana bhavan,",['Not Found']
704,"remind me to watch baar bar dekho at 8.00 pm today,","remind watch baar bar dekho . pm today,",['the same']
705,"Hello, when did I ask for this reminder?,","hello, ask reminder?,",['What']
706,"Please remind me to do payment of credit card today at 10:10 am,","please remind payment credit card today : am,",['credit card payment']
707,"i need a reminder in tamil,","need reminder tamil,",['Not Found']
708,"please remind me to open crystals at 1655 hours,","please remind open crystal  hours,",['Not Found']
709,"Via call?,","via call?,",['Call']
710,"Edit my reminder,","edit reminder,",['What']
711,"Remind me in 12:50pm,","remind :pm,",['Not Found']
712,"Add some more reminders,","add reminders,",['Not Found']
713,"Remind me to book tickets today,","remind book ticket today,",['book tickets']
714,"I want to remind to my wife birthday,","want remind wife birthday,",['Not Found']
715,"i will stopped reminder,","stopped reminder,",['What']
716,"Alert tone?,","alert tone?,",['Not Found']
717,"Set me a reminder after 12 minutes,","set reminder  minutes,",['What']
718,"Can u remind me every day that i have punch in at zinger at 9:45 am ??,","u remind every day punch zinger : ??,",['Not Found']
719,"Ya sure you can,","ya sure can,",['Not Found']
720,"Everyday,","everyday,",['Not Found']
721,"If my provided number will be out of reach den plz make me a call on 8804033000,","provided number reach den plz make call ,",['Not Found']
722,"Set Alarm from 10:400AM to 10:50AM, today, 2 minutes difference,","set alarm :am :am, today,  minute difference,",['Alarm']
723,"Also remind me to book ticket of partha on 3rd Jan at 09:30,","also remind book ticket partha rd jan :,",['book tickets']
724,"Add a reminder on 24th nov at 3.30 at meet Mr. Oak,","add reminder th nov . meet mr. oak,",['Not Found']
725,"And remind me to check mi store,","remind check mi store,",['How']
726,"How can i set reminders,","set reminders,",['Not Found']
727,"I want to change my child name from kanishk to kanishk lodha in birth certificate tell me procedure for Tamil nadu Chennai Wat is easiest way,","want change child name kanishk kanishk lodha birth certificate tell procedure tamil nadu chennai wat easiest way,",['you']
728,"Please call.me on 10 Nov, 2016 at 11 am IST please,","please call.me  nov,   ist please,",['Not Found']
